airtable_table,airtable_table_id,airtable_field,field_id_testing,field_id_production,in_testing,in_production,airtable_type,choices,labos_use,direction,labos_source,write_phase,status,delivery_state,owner,rule
Back Charges,tbl0f2YxS3FHJ1dTD,Approval Status,fldfndhdC4ofYXQPz,fldfndhdC4ofYXQPz,yes,yes,singleSelect,Pending | Approved | Rejected | Needs Info,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Approved By,fldz8k7GsgoakBlnh,fldz8k7GsgoakBlnh,yes,yes,singleLineText,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Back Charge Name,fldE3z03ghSFNjXzO,fldE3z03ghSFNjXzO,yes,yes,formula,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Billable Amount,fldilEtoCaxRkonpE,fldilEtoCaxRkonpE,yes,yes,formula,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Charge Type,fldjXiyArEKsYJBju,fldjXiyArEKsYJBju,yes,yes,singleSelect,Materials | Equipment Rental | Delivery | Labor | Retest | Storage | Other,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Date Incurred,fldLa3GEhUqHeQJJH,fldLa3GEhUqHeQJJH,yes,yes,date,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Description,fldlI36CjI7knVABZ,fldlI36CjI7knVABZ,yes,yes,multilineText,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,IFET Job Number,fldcTkX1jo4kOyU0P,fldcTkX1jo4kOyU0P,yes,yes,multipleRecordLinks,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Internal Cost,fldvFuWbhl4oJazCk,fldvFuWbhl4oJazCk,yes,yes,currency,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Markup %,fldHVsz04mW0tRnWP,fldHVsz04mW0tRnWP,yes,yes,percent,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,QuickBooks Invoice Number,fldiLBGNgNhIMxrSh,fldiLBGNgNhIMxrSh,yes,yes,multipleLookupValues,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Receipt / Vendor Invoice,fldODHRjWytwEQXv3,fldODHRjWytwEQXv3,yes,yes,url,,ignore,,,,,,,
Back Charges,tbl0f2YxS3FHJ1dTD,Vendor,fld62eDADnlh3evUX,fld62eDADnlh3evUX,yes,yes,singleLineText,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Approve To Create Invoice,fldf8Yk3YsLdO9FZc,fldf8Yk3YsLdO9FZc,yes,yes,singleSelect,Not Approved | Approved,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Approved Proposal Amount,fldBXKfp45g990C6n,fldBXKfp45g990C6n,yes,yes,currency,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Back Charges,fldHVvyKTR1AZA36C,fldHVvyKTR1AZA36C,yes,yes,multipleRecordLinks,,ignore,,,,,,,
IFET Projects,tblLYcRC7q6Srjfk3,Back Charges Billable Amount,fldpiD7QoloFt3ziT,fldpiD7QoloFt3ziT,yes,yes,rollup,,ignore,,,,,,,
