action,table,table_id,field,current_production_state,required_production_state,airtable_type,options_or_precision,direction,labos_reads,labos_writes,why_labos_needs_it,field_id_testing,field_id_production,automation_impact
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Applicability,absent,singleSelect (Required | Not Required | Unconfirmed),singleSelect,Required | Not Required | Unconfirmed,IN,yes,no,"Required/Not Required/Unconfirmed. Blank=Unconfirmed, never infer from Value or historical Result. Only Required is executable.",fldh3VS09fonTLHsS,,No automation impact: LabOS reads this and never writes it.
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Required Option,absent,singleLineText,singleLineText,,IN,yes,no,"READ. The named grade or class a pass/fail test is judged against - 'ASTM F588 Grade 40' for Forced Entry, 'Class A' for ANSI Z97.1, 'Full' for the static programme. Free text, so an unrecognised option is displayed and non-executable, never guessed.",fldflOxCkAK1BkU9l,,No automation impact: LabOS reads this and never writes it.
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Required Unit,absent,singleSelect (PSF | in | s | cycles | impacts),singleSelect,PSF | in | s | cycles | impacts,IN,yes,no,READ for validation only. PSF/in/s/cycles/impacts. LabOS refuses a value whose unit does not match the requirement kind rather than assuming PSF.,fldTjNKeQe7oxxl33,,No automation impact: LabOS reads this and never writes it.
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Required Value,absent,number (precision 2),number,precision 2,IN,yes,no,"READ. The scalar for Count and Magnitude kinds - gauge count via GAUGE_COUNT, impact count via IMPACT_LMI/IMPACT_SMI. Blank is not zero: a missing requirement is absent, never 0.",fldpL2dyGzKj9xowY,,No automation impact: LabOS reads this and never writes it.
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Required Value Inward,absent,number (precision 2),number,precision 2,IN,yes,no,"READ, and the single most load-bearing field in the integration. LabOS derives all 14 stages from the pair - 6 static factors [0.75,0.75,1,1,1.5,1.5] and 8 cyclic high/low factors with fixed cycle counts. Independent positive PSF magnitude; never copied from outward.",fld1wR9ojdmESax0m,,No automation impact: LabOS reads this and never writes it.
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Required Value Outward,absent,number (precision 2),number,precision 2,IN,yes,no,READ. The other half of the pair. Independent of inward and never copied from it - a transposition would be individually plausible and silently wrong.,fld7GLStvnPnYJPpd,,No automation impact: LabOS reads this and never writes it.
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Requirement Code,absent,singleSelect (STATIC_PRESSURE | CYCLIC_PRESSURE | IMPACT_LMI | IMPACT_SMI | FORCED_ENTRY | ANSI_IMPACT | GAUGE_COUNT | STATIC_PROGRAMME | WATER_PRESSURE),singleSelect,STATIC_PRESSURE | CYCLIC_PRESSURE | IMPACT_LMI | IMPACT_SMI | FORCED_ENTRY | ANSI_IMPACT | GAUGE_COUNT | STATIC_PROGRAMME | WATER_PRESSURE,IN,yes,no,STATIC_PRESSURE/CYCLIC_PRESSURE/IMPACT_LMI/IMPACT_SMI/FORCED_ENTRY/ANSI_IMPACT/GAUGE_COUNT/STATIC_PROGRAMME/WATER_PRESSURE. Water visible but unsupported; names are labels.,fld9Fzjj25ngrVIOB,,No automation impact: LabOS reads this and never writes it.
ADD,Protocol Sections,tblqpvuJlSdkeS9PS,Requirement Kind,absent,singleSelect (Magnitude | Directional Pair | Count | Enum | Not Applicable),singleSelect,Magnitude | Directional Pair | Count | Enum | Not Applicable,IN,yes,no,READ. Says how to interpret the requirement: Magnitude / Directional Pair / Count / Enum / Not Applicable. LabOS refuses a kind it does not support rather than guessing.,fldWGpL9gJh89wSK8,,No automation impact: LabOS reads this and never writes it.
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,ANSI Result,absent,singleSelect (Pending | Passed | Failed | Inconclusive),singleSelect,Pending | Passed | Failed | Inconclusive,OUT,no,yes,"REOPENED with Forced Entry Result 2026-09-10; identical shape, gated to Test Type = ANSI Z97.1. APPLIED to the Testing Base 2026-09-11 fldmCKJV95N9uL7xt. Not in production, and guarded against reaching it by preflight check 2.",fldmCKJV95N9uL7xt,,"New reporting axis, as Forced Entry Result. Blank on the other four types."
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Corrects Attempt ID,absent,singleLineText,singleLineText,,OUT,no,yes,Required on a new correction row; references original UUID. Never update original or disguise correction as retest.,fldV4ucQNEA0gYfMc,,Distinguishes a correction from a retest. A roll-up that picks the current result should prefer a row that is not superseded by a later correction.
