direction,airtable_table,airtable_field,airtable_type,labos_source,write_phase,rule,status,gate
OUT,LabOS Raw Data Table,LabOS Attempt ID,singleLineText,test_programme_runs.labos_attempt_id,create,"Merge key. One per PROGRAMME RUN, not per stage trial - see D7. Unique, never reused. Airtable upserts on this.",AGREED,
OUT,LabOS Raw Data Table,LabOS Test ID,singleLineText,test_programme_runs.labos_test_id,create,"Identifies the PROGRAMME, shared by every run of it. Programme = (project_id, airtable_section_id). Not a substitute for Corrects Attempt ID.",AGREED,
OUT,LabOS Raw Data Table,Attempt Number,number,test_programme_runs.attempt_number,create,"Run ordinal for the programme. Never a stage index, never an impact ordinal.",AGREED,
OUT,LabOS Raw Data Table,Corrects Attempt ID,singleLineText,test_programme_runs.corrects_attempt_id,create,"Written at CREATE of the CORRECTING attempt, never onto the corrected one. A recorded verdict is immutable. Field is ABSENT from both bases.",BLOCKED,G5 field not delivered
OUT,LabOS Raw Data Table,Schema Version,singleLineText,test_results.schema_version,create,Tracks the write contract version on the wire.,AGREED,
OUT,LabOS Raw Data Table,Airtable Project ID,singleLineText,project_parents.airtable_project_id,create,Permanent record ID. REPEATS across specimens of one project - not a uniqueness key.,AGREED,
OUT,LabOS Raw Data Table,Airtable Mockup ID,singleLineText,projects.airtable_mockup_id,create,Permanent record ID. Unique per LabOS project row.,AGREED,
OUT,LabOS Raw Data Table,Airtable Protocol ID,singleLineText,tests.airtable_protocol_id,create,Permanent record ID. REPEATS across sections of one protocol.,AGREED,
OUT,LabOS Raw Data Table,Airtable Section ID,singleLineText,tests.airtable_section_id,create,"Permanent record ID. Unique per PROGRAMME; REPEATS across the 6 static / 8 cyclic stages it expands into, and across runs. See D7.",AGREED,
OUT,LabOS Raw Data Table,Test Type,singleSelect,test_results.test_type,create,All five options live in both bases since 2026-09-05. Closes contract 10.17.,AGREED,
OUT,LabOS Raw Data Table,Test Status,singleSelect,test_results.status,create+terminal,Not Started / In Progress / Completed / Abborted. Their spelling of Aborted wins on the wire.,AGREED,
OUT,LabOS Raw Data Table,Test Date,dateTime,test_results.testing_start_date,create,"UTC instant, ISO-8601 with Z. Mapped from testing_start_date PROVISIONALLY - start vs completion is undecided (10.13, Q11). Both instants preserved in LabOS and the JSON valve.",AGREED,
OUT,LabOS Raw Data Table,Operator Name,singleLineText,test_results.operator_name,create,"Declared identity, selected per session, snapshotted per attempt. No authentication behind it.",AGREED,
OUT,LabOS Raw Data Table,LabOS Created At,dateTime,test_results.labos_created_at,create,UTC.,AGREED,
OUT,LabOS Raw Data Table,LabOS Updated At,dateTime,test_results.labos_updated_at,every,UTC. Refreshed every phase. Also the monotonic guard - a queued payload older than the record's value is dropped as superseded.,AGREED,
OUT,LabOS Raw Data Table,Measured Value,number,test_results.measured_value,terminal,Operator-entered manual test types only. NO SOURCE for Static Load / Cycles - the firmware trial payload carries deflections[] and nothing else.,BLOCKED,G4 no measurement source
OUT,LabOS Raw Data Table,Unit,singleLineText,test_results.unit,terminal,Short form: PSF PSI in mm cycles s impacts. Not display text.,PROPOSED,
OUT,LabOS Raw Data Table,Max Pressure Achieved,number,-,terminal,"NO SOURCE. Firmware sends no pressure; static pressure is an open-loop operator slider, so the configured setpoint is not an achieved value. Omitted from the payload.",BLOCKED,G4 no measurement source
OUT,LabOS Raw Data Table,Deflection Value,number,test_results.deflection_value,terminal,OMITTED. envelope.build() raises if populated. Evidence retained LOCALLY only - not carried in the JSON valve.,BLOCKED,G1 deflection calibration
OUT,LabOS Raw Data Table,Deflection Unit,singleLineText,test_results.deflection_unit,terminal,"OMITTED. When unblocked: short form in / mm, never Inches. Contract 10.24.",BLOCKED,G1 deflection calibration
OUT,LabOS Raw Data Table,Impact Result,singleLineText,derived from impact_shots roll-up,terminal,Roll-up summary only. Per-shot detail goes to Complete LabOS JSON Response.,PROPOSED,
OUT,LabOS Raw Data Table,Test Result,singleSelect,test_results.test_result,verdict,Pending on terminal write. Passed/Failed/Inconclusive only after a reviewer records it. LabOS owns the verdict.,AGREED,
OUT,LabOS Raw Data Table,Retest Required,checkbox,test_results.retest_required,verdict,Set with the verdict.,AGREED,
OUT,LabOS Raw Data Table,Testing Continued,singleLineText,test_results.testing_continued,terminal,Continued / Stopped.,AGREED,
OUT,LabOS Raw Data Table,Correction Reason,multilineText,test_results.correction_reason,create,"Written at CREATE of the correcting attempt. Required when Corrects Attempt ID is set; meaningless without it, which is why G5 blocks the pair.",AGREED,
OUT,LabOS Raw Data Table,LabOS Verdict By,singleLineText,test_results.verdict_by,verdict,NEW FIELD. Reviewer declared identity. Ships inside Complete LabOS JSON Response until the field exists.,PROPOSED,
OUT,LabOS Raw Data Table,LabOS Verdict At,dateTime,test_results.verdict_at,verdict,NEW FIELD. UTC. Ships inside Complete LabOS JSON Response until the field exists.,PROPOSED,
OUT,LabOS Raw Data Table,Notes,multilineText,test_results.note,terminal,Operator free text.,AGREED,
