table_id,table_name,field_position,field_id,field_name,field_type,description,choices,linked_table_id,options_json
tblLYcRC7q6Srjfk3,IFET Projects,0,fldZa91p5KebdT6q2,IFET job number,singleLineText,Unique IFET job number used to identify and track the project across all systems.,,,
tblLYcRC7q6Srjfk3,IFET Projects,1,fldXOI9t0N8oP4FLy,Project name,singleLineText,Name of the customer project.,,,
tblLYcRC7q6Srjfk3,IFET Projects,2,fldYpIwi0DcgVAjSB,Project Status,singleSelect,"The Project Status will automatically change, do not adjust it manually.",Completed | Cancelled | In Progress | Pending,,"{""choices"": [{""color"": ""greenLight1"", ""id"": ""sellFLIBjx0WQSsHm"", ""name"": ""Completed""}, {""color"": ""orangeBright"", ""id"": ""selG4sWUPv6aTEm0q"", ""name"": ""Cancelled""}, {""color"": ""yellowLight1"", ""id"": ""sel817T8mopJSrr4j"", ""name"": ""In Progress""}, {""color"": ""grayLight1"", ""id"": ""sel1dAXY8cyNyP5k3"", ""name"": ""Pending""}]}"
tblLYcRC7q6Srjfk3,IFET Projects,3,fld1sTdXmRO5ZNTik,Report Status,singleSelect,"You have to change the report status to ""Ready"", ""In Progress"" or ""Pending""",Ready | In Progress | Pending,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""seljWTqR8jTUtsFuQ"", ""name"": ""Ready""}, {""color"": ""cyanLight2"", ""id"": ""selKN74Kx2hfkxPAO"", ""name"": ""In Progress""}, {""color"": ""greenLight2"", ""id"": ""seluV1DS3APOlSqiT"", ""name"": ""Pending""}]}"
tblLYcRC7q6Srjfk3,IFET Projects,4,fldf8Yk3YsLdO9FZc,Approve To Create Invoice,singleSelect,"Indicates whether the project is ready for final invoicing. Approval requires all Back Charges to be Approved, Project Status to be Completed, Report Status to be Ready, Final Invoice Status to be Not Created, and all required billing details to be available. Check “Reason For Not Approval For Invoice” for missing requirements.",Not Approved | Approved,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""selKJyt3jcxeMCQOZ"", ""name"": ""Not Approved""}, {""color"": ""cyanLight2"", ""id"": ""selwx7nc3VbrkUa2h"", ""name"": ""Approved""}]}"
tblLYcRC7q6Srjfk3,IFET Projects,5,fldyWaBcjIm9bBVeH,Reason For Not Approval For Invoice,formula,"Displays the specific reasons preventing invoice approval. When all requirements are satisfied, confirms that the project is ready for invoice approval.",,,"{""formula"": ""IF(\r\n    AND(\r\n        OR(\r\n            LEN(ARRAYJOIN({fldfgNcT03v4TZrNE}, \"",\"")) = 0,\r\n            SUBSTITUTE(\r\n                SUBSTITUTE(\r\n                    SUBSTITUTE(\r\n                        ARRAYJOIN({fldfgNcT03v4TZrNE}, \"",\""),\r\n                        \""Approved\"",\r\n                        \""\""\r\n                    ),\r\n                    \"",\"",\r\n                    \""\""\r\n                ),\r\n                \"" \"",\r\n                \""\""\r\n            ) = \""\""\r\n        ),\r\n\r\n        {fldYpIwi0DcgVAjSB} = \""Completed\"",\r\n\r\n        {fld1sTdXmRO5ZNTik} = \""Ready\"",\r\n\r\n        {fldGu1onl7NMJ4Ay2} = \""Not Created\"",\r\n\r\n        {fldBXKfp45g990C6n} != BLANK(),\r\n\r\n        LEN(TRIM({fld5T069KEywPp5F4} & \""\"")) > 0,\r\n\r\n        LEN(TRIM({fldJKbExQdoLlV13V} & \""\"")) > 0,\r\n\r\n        LEN(TRIM({fldR3PaaTo9BIjmSO} & \""\"")) > 0\r\n    ),\r\n\r\n    \""All good, you can Approved the invoice.\"",\r\n\r\n    TRIM(\r\n        IF(\r\n            AND(\r\n                {fldfgNcT03v4TZrNE},\r\n                SUBSTITUTE(\r\n                    SUBSTITUTE(\r\n                        SUBSTITUTE(\r\n                            ARRAYJOIN({fldfgNcT03v4TZrNE}, \"",\""),\r\n                            \""Approved\"",\r\n                            \""\""\r\n                        ),\r\n                        \"",\"",\r\n                        \""\""\r\n                    ),\r\n                    \"" \"",\r\n                    \""\""\r\n                ) != \""\""\r\n            ),\r\n            \""Please make sure to approve all the back charges of this project.\"" & \""\\n\"",\r\n            \""\""\r\n        ) &\r\n\r\n        IF(\r\n            {fldYpIwi0DcgVAjSB} != \""Completed\"",\r\n            \""Please wait for the project to complete.\"" & \""\\n\"",\r\n            \""\""\r\n        ) &\r\n\r\n        IF(\r\n            {fld1sTdXmRO5ZNTik} != \""Ready\"",\r\n            \""Please make sure that your report status is Ready.\"" & \""\\n\"",\r\n            \""\""\r\n        ) &\r\n\r\n        IF(\r\n            {fldGu1onl7NMJ4Ay2} != \""Not Created\"",\r\n            \""The final invoice has already been created or is not in Not Created status.\"" & \""\\n\"",\r\n            \""\""\r\n        ) &\r\n\r\n        IF(\r\n            {fldBXKfp45g990C6n} = BLANK(),\r\n            \""Please make sure the Approved Proposal Amount is available.\"" & \""\\n\"",\r\n            \""\""\r\n        ) &\r\n\r\n        IF(\r\n            LEN(TRIM({fld5T069KEywPp5F4} & \""\"")) = 0,\r\n            \""Please make sure the Customer Name is available.\"" & \""\\n\"",\r\n            \""\""\r\n        ) &\r\n\r\n        IF(\r\n            LEN(TRIM({fldJKbExQdoLlV13V} & \""\"")) = 0,\r\n            \""Please make sure the Contact email is available.\"" & \""\\n\"",\r\n            \""\""\r\n        ) &\r\n\r\n        IF(\r\n            LEN(TRIM({fldR3PaaTo9BIjmSO} & \""\"")) = 0,\r\n            \""Please make sure the Product Type is available.\"" & \""\\n\"",\r\n            \""\""\r\n        )\r\n    )\r\n)"", ""isValid"": true, ""referencedFieldIds"": [""fldfgNcT03v4TZrNE"", ""fldYpIwi0DcgVAjSB"", ""fld1sTdXmRO5ZNTik"", ""fldGu1onl7NMJ4Ay2"", ""fldBXKfp45g990C6n"", ""fld5T069KEywPp5F4"", ""fldJKbExQdoLlV13V"", ""fldR3PaaTo9BIjmSO""], ""result"": {""type"": ""singleLineText""}}"
tblLYcRC7q6Srjfk3,IFET Projects,6,fldGu1onl7NMJ4Ay2,Final Invoice Status,singleSelect,"Tracks the lifecycle of the final QuickBooks invoice, such as Not Created, Draft, Sent, Partially Paid, or Paid.",Not Created | Draft | Sent | Partially Paid | Paid,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""selIoxiOEnprtc7Z5"", ""name"": ""Not Created""}, {""color"": ""tealLight2"", ""id"": ""selCO6SPtMerZQuC7"", ""name"": ""Draft""}, {""color"": ""greenLight2"", ""id"": ""sel7Uzpmyjdk9yHAr"", ""name"": ""Sent""}, {""color"": ""cyanLight2"", ""id"": ""selnEb8bEeuqgqHdD"", ""name"": ""Partially Paid""}, {""color"": ""yellowLight2"", ""id"": ""selwbni454HsCAmTW"", ""name"": ""Paid""}]}"
tblLYcRC7q6Srjfk3,IFET Projects,7,fldfgNcT03v4TZrNE,Back Charges Status,multipleLookupValues,Displays the approval status of all linked back charges and is used to determine invoice eligibility.,,,"{""fieldIdInLinkedTable"": ""fldfndhdC4ofYXQPz"", ""isValid"": true, ""recordLinkFieldId"": ""fldHVvyKTR1AZA36C"", ""result"": {""options"": {""choices"": [{""color"": ""blueLight2"", ""id"": ""seleD0ZIxkMXHQTHi"", ""name"": ""Pending""}, {""color"": ""cyanLight2"", ""id"": ""sel43hBqoB2KVw6j3"", ""name"": ""Approved""}, {""color"": ""tealLight2"", ""id"": ""selKTQQ53TR7fnZpX"", ""name"": ""Rejected""}, {""color"": ""greenLight2"", ""id"": ""selIRP2ItvPUEz12w"", ""name"": ""Needs Info""}]}, ""type"": ""singleSelect""}}"
tblLYcRC7q6Srjfk3,IFET Projects,8,fldXifux2uAphjFTO,Hubspot Deal ID,singleLineText,,,,
tblLYcRC7q6Srjfk3,IFET Projects,9,fldNLM91Jg2fIST6C,Hubspot Deal Stage,singleLineText,,,,
